Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=0 (Prime); WT YAP; Abundance 1221003,t=24 (NMP); WT YAP; Abundance 1221004,t=36; WT YAP; Abundance 1221005,t=48 (PSM); WT YAP; Abundance 1221006,t=0 (Prime); WT TAZ; Abundance 1221007,t=24 (NMP); WT TAZ; Abundance 1221008,t=36; WT TAZ; Abundance 1221009,t=48 (PSM); WT TAZ; Abundance 1221010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y281,Cofilin-2 OS=Homo sapiens OX=9606 GN=CFL2 PE=1 SV=1,42,5,17,3,18.7,CFL2,227304.95,1413061.91,186448.09,251084.85,78840.70,820952.40,173573.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y5K6,CD2-associated protein OS=Homo sapiens OX=9606 GN=CD2AP PE=1 SV=1,14,7,17,7,71.4,CD2AP,,3378634.75,376513.18,144748.77,310557.70,2638223.59,1189537.66,32438.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O15143,Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3,16,5,17,5,40.9,ARPC1B,2095735.71,4714054.67,1045913.59,1397866.50,844440.23,4455063.38,1074073.36,139294.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16630,Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens OX=9606 GN=CPSF6 PE=1 SV=2,10,4,17,4,59.2,CPSF6,1055244.88,1881211.89,650739.66,1305929.45,425215.05,2660104.63,1957252.27,1651103.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NVH1,DnaJ homolog subfamily C member 11 OS=Homo sapiens OX=9606 GN=DNAJC11 PE=1 SV=2,13,7,17,7,63.2,DNAJC11,372437.59,2030112.88,356003.91,579338.95,1042512.72,2289130.75,1324798.50,1303905.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99439,Calponin-2 OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=4,15,4,17,3,33.7,CNN2,742737.38,2334351.53,426684.27,,,1857334.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P18887,DNA repair protein XRCC1 OS=Homo sapiens OX=9606 GN=XRCC1 PE=1 SV=3,6,4,17,4,69.5,XRCC1,710481.89,4155457.56,839343.00,527587.36,177150.46,2940865.88,1219227.32,193902.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9HAU0,Pleckstrin homology domain-containing family A member 5 OS=Homo sapiens OX=9606 GN=PLEKHA5 PE=1 SV=1,4,5,16,5,127.4,PLEKHA5,1323851.81,2430048.81,571456.92,778006.53,758101.42,2339447.14,1588850.89,192051.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96HP0,Dedicator of cytokinesis protein 6 OS=Homo sapiens OX=9606 GN=DOCK6 PE=1 SV=3,4,8,16,7,229.4,DOCK6,51924.80,121869.38,58439.13,128728.00,89256.08,333478.69,135555.52,23909.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14165,Malectin OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1,15,4,16,4,32.2,MLEC,741617.06,2205777.00,573284.39,965718.14,,1816286.31,332121.23,179520.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UN86,Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2 PE=1 SV=2,10,3,16,3,54.1,G3BP2,705159.31,3211440.91,287760.50,174528.34,204497.64,1414473.41,1566516.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P55209,Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1,17,5,16,5,45.3,NAP1L1,833279.52,2376667.00,320521.09,621738.55,320352.75,2866271.94,1136504.84,166607.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5BKZ1,DBIRD complex subunit ZNF326 OS=Homo sapiens OX=9606 GN=ZNF326 PE=1 SV=2,10,4,16,4,65.6,ZNF326,1975947.83,2658832.73,763606.80,739720.63,312912.48,5185050.63,2778526.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43670,BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1,5,2,16,2,50.7,ZNF207,803860.91,2257118.00,577457.58,1178927.13,383025.20,2228349.88,1408105.27,707722.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y3A2,Probable U3 small nucleolar RNA-associated protein 11 OS=Homo sapiens OX=9606 GN=UTP11 PE=1 SV=2,26,7,16,7,30.4,UTP11,1328265.17,5584841.25,1107865.03,1252265.80,169475.02,3444396.38,1266773.56,249967.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P05089,Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2,21,6,16,6,34.7,ARG1,,256883.16,750911.02,692841.49,154443.52,527310.08,577735.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86UL8,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Homo sapiens OX=9606 GN=MAGI2 PE=1 SV=3",2,3,16,1,158.7,MAGI2,,,,,,271300.28,285146.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q03001,Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4,2,10,16,8,860.1,DST,367677.30,778306.33,209728.97,221861.49,136659.63,398407.45,177917.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NX63,MICOS complex subunit MIC19 OS=Homo sapiens OX=9606 GN=CHCHD3 PE=1 SV=1,19,5,16,5,26.1,CHCHD3,1129640.11,2358562.00,634861.25,762177.56,1218077.64,3175140.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P55084,"Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3",12,5,16,5,51.3,HADHB,1268820.24,3592706.50,762894.87,1085523.25,613940.38,5138072.69,1714306.38,707508.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96FS4,Signal-induced proliferation-associated protein 1 OS=Homo sapiens OX=9606 GN=SIPA1 PE=1 SV=1,6,5,16,5,112.1,SIPA1,423750.13,1192833.19,193784.03,305529.16,77094.71,1145768.13,643981.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P48047,"ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=1 SV=1",21,4,16,4,23.3,ATP5PO,1299221.19,4062757.48,1155207.48,1335055.31,277646.46,3202460.25,940171.63,901593.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75494,Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1,15,4,16,4,31.3,SRSF10,854022.33,3884905.91,816385.53,1251086.92,190185.70,2722114.94,498009.67,80385.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q0VF96,Cingulin-like protein 1 OS=Homo sapiens OX=9606 GN=CGNL1 PE=1 SV=2,8,10,16,10,149,CGNL1,1139894.84,774445.63,38840.30,,408783.80,298058.97,99138.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35613,Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2,22,6,16,6,42.2,BSG,1264177.22,4549867.84,905190.64,1045401.38,532608.38,4863588.19,2256489.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49368,T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4,9,5,16,5,60.5,CCT3,2011919.09,2775087.06,404415.48,535156.41,824638.66,2864447.84,1161842.45,528926.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95347,Structural maintenance of chromosomes protein 2 OS=Homo sapiens OX=9606 GN=SMC2 PE=1 SV=2,9,10,16,10,135.6,SMC2,1694219.92,4817624.81,553557.21,796999.10,396815.05,4142994.44,2114167.55,71209.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q1KMD3,Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1,12,8,16,8,85.1,HNRNPUL2,981249.05,1866221.14,299671.69,986916.13,923684.94,644559.44,1028479.27,83592.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15398,Disks large-associated protein 5 OS=Homo sapiens OX=9606 GN=DLGAP5 PE=1 SV=2,9,7,16,7,95.1,DLGAP5,515322.60,4870485.53,605390.96,524258.36,169192.72,2884435.88,1259588.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95251,Histone acetyltransferase KAT7 OS=Homo sapiens OX=9606 GN=KAT7 PE=1 SV=1,9,5,15,5,70.6,KAT7,772028.02,1856525.91,374303.15,657696.65,444509.69,1678987.27,1480918.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P50991,T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,11,5,15,5,57.9,CCT4,1380380.66,2156126.31,441217.91,577255.62,572751.53,2804039.81,993050.73,187832.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NW64,Pre-mRNA-splicing factor RBM22 OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1,14,4,15,4,46.9,RBM22,852750.57,3082663.75,1249293.53,1652801.56,464454.77,3065162.80,1366443.23,583512.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07947,Tyrosine-protein kinase Yes OS=Homo sapiens OX=9606 GN=YES1 PE=1 SV=3,9,5,15,4,60.8,YES1,820827.94,5173016.97,1389684.07,2048139.34,740967.62,5440122.13,2101854.33,41013.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61006,Ras-related protein Rab-8A OS=Homo sapiens OX=9606 GN=RAB8A PE=1 SV=1,14,3,15,1,23.7,RAB8A,3142278.53,5666758.09,1175486.30,1520524.04,1078904.33,2660133.09,468712.16,143174.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H501,ESF1 homolog OS=Homo sapiens OX=9606 GN=ESF1 PE=1 SV=1,8,7,15,7,98.7,ESF1,1379803.92,1475243.64,362402.66,459003.31,330032.70,2015518.41,1491328.25,108698.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51571,Translocon-associated protein subunit delta OS=Homo sapiens OX=9606 GN=SSR4 PE=1 SV=1,31,4,15,4,19,SSR4,1173124.94,3472058.98,624491.93,1211699.85,191829.38,3000585.75,819702.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15024,Exosome complex component RRP42 OS=Homo sapiens OX=9606 GN=EXOSC7 PE=1 SV=3,15,4,15,4,31.8,EXOSC7,926033.13,5113399.69,1094301.27,994766.02,184665.76,3926941.92,722914.02,43336.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q93009,Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=2,8,8,15,8,128.2,USP7,1057794.58,4529872.90,1338095.41,1493658.70,606916.24,3078487.84,1691602.97,96128.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6PJT7,Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1,12,7,15,7,82.8,ZC3H14,813707.54,1780695.94,,361893.33,176062.43,1706853.59,1829494.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13011,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens OX=9606 GN=ECH1 PE=1 SV=2",19,5,15,5,35.8,ECH1,1157514.09,3673789.59,564051.04,322793.99,80576.41,1723871.38,177121.47,158239.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15019,Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1,30,8,15,7,41.5,SEPTIN2,1014514.77,3119809.19,304129.95,341290.56,,3834097.28,963280.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WWM7,Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=2,9,7,15,7,113.3,ATXN2L,843934.66,3012094.41,418398.40,403630.45,254106.66,7975659.56,775615.41,41267.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13112,Chromatin assembly factor 1 subunit B OS=Homo sapiens OX=9606 GN=CHAF1B PE=1 SV=1,9,4,15,4,61.5,CHAF1B,673280.48,2306370.56,677958.89,487879.78,284233.89,1887400.09,958156.14,129380.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60231,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Homo sapiens OX=9606 GN=DHX16 PE=1 SV=2,3,3,15,2,119.2,DHX16,,354626.63,40518.61,83970.91,66262.67,301793.81,84124.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BXF3,Chromatin remodeling regulator CECR2 OS=Homo sapiens OX=9606 GN=CECR2 PE=1 SV=2,6,7,15,7,164.1,CECR2,1120212.25,273868.81,,387525.22,890759.88,2562182.56,963016.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BY89,Uncharacterized protein KIAA1671 OS=Homo sapiens OX=9606 GN=KIAA1671 PE=1 SV=2,6,8,15,8,196.6,KIAA1671,720971.53,2201413.91,595938.28,436430.48,461248.39,1734269.61,898777.52,2714413.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P40937,Replication factor C subunit 5 OS=Homo sapiens OX=9606 GN=RFC5 PE=1 SV=1,15,5,15,5,38.5,RFC5,1033835.03,1196219.63,282619.67,402947.09,78241.67,1745552.66,394343.92,87682.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P50750,Cyclin-dependent kinase 9 OS=Homo sapiens OX=9606 GN=CDK9 PE=1 SV=3,13,5,15,4,42.8,CDK9,198290.52,1399469.28,273256.63,574533.98,,1849321.77,628366.72,75272.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q01130,Serine/arginine-rich splicing factor 2 OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=4,14,3,15,3,25.5,SRSF2,3774668.36,3758382.22,1009337.25,1607754.84,582639.44,4083462.88,1161954.75,918802.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y2L1,Exosome complex exonuclease RRP44 OS=Homo sapiens OX=9606 GN=DIS3 PE=1 SV=2,9,6,14,6,108.9,DIS3,625423.09,1494412.47,192386.11,286784.70,103005.94,1339512.00,869425.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P21281,"V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3",18,6,14,6,56.5,ATP6V1B2,971908.84,2161934.09,472789.82,722155.29,408023.09,2894771.58,1106446.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H8H2,Probable ATP-dependent RNA helicase DDX31 OS=Homo sapiens OX=9606 GN=DDX31 PE=1 SV=2,8,6,14,6,94,DDX31,74484.35,1499929.72,608665.71,881212.45,391786.64,1958255.63,1327463.46,26953.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NPD3,Exosome complex component RRP41 OS=Homo sapiens OX=9606 GN=EXOSC4 PE=1 SV=3,29,5,14,5,26.4,EXOSC4,2020263.52,7509001.25,1426832.96,1651079.64,508814.32,6304835.31,1295762.01,67090.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13595,Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1,11,3,14,3,32.7,TRA2A,897794.07,3447893.56,734208.75,1186802.34,260949.73,3216446.69,1346461.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7Z589,BRCA2-interacting transcriptional repressor EMSY OS=Homo sapiens OX=9606 GN=EMSY PE=1 SV=2,7,7,14,7,141.4,EMSY,650698.13,622534.31,664087.96,1496304.27,282548.87,886903.45,1393293.30,922393.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13310,Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1,10,5,14,1,70.7,PABPC4,,,54267.75,,,238137.33,195923.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P50990,T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,13,6,14,6,59.6,CCT8,601731.13,1830955.50,211068.94,442291.84,518386.41,1973839.34,183805.20,263734.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12965,Unconventional myosin-Ie OS=Homo sapiens OX=9606 GN=MYO1E PE=1 SV=2,5,5,14,4,127,MYO1E,1352333.36,365418.09,89902.09,166394.36,595492.43,348886.48,265111.09,331124.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UNQ2,Probable dimethyladenosine transferase OS=Homo sapiens OX=9606 GN=DIMT1 PE=1 SV=1,23,6,14,6,35.2,DIMT1,141830.03,2695465.41,424776.68,256310.06,,2346245.19,279829.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P57740,Nuclear pore complex protein Nup107 OS=Homo sapiens OX=9606 GN=NUP107 PE=1 SV=1,9,8,14,8,106.3,NUP107,,,72733.26,76161.99,53231.47,217357.56,,2999961.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62910,60S ribosomal protein L32 OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=2,28,4,14,4,15.9,RPL32,16502683.69,17004712.22,2649806.41,5195788.96,2046443.49,14200830.60,4112800.25,140828.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UQB8,Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens OX=9606 GN=BAIAP2 PE=1 SV=1,19,8,14,8,60.8,BAIAP2,142889.00,2118545.56,639551.03,310205.13,50244.33,2487806.94,1095388.99,415365.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NZM5,Ribosome biogenesis protein NOP53 OS=Homo sapiens OX=9606 GN=NOP53 PE=1 SV=2,14,6,14,6,54.4,NOP53,1310785.00,4258957.06,958921.43,2137233.52,1345152.20,6579176.25,3917915.73,195761.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8ND82,Zinc finger protein 280C OS=Homo sapiens OX=9606 GN=ZNF280C PE=1 SV=1,10,6,14,6,83,ZNF280C,7794568.84,2207801.28,557884.56,1012829.19,212122.09,3118677.98,2441733.88,401862.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9GZR2,RNA exonuclease 4 OS=Homo sapiens OX=9606 GN=REXO4 PE=1 SV=2,18,7,14,7,46.6,REXO4,863572.95,1725426.59,270064.69,598076.48,142118.80,1500989.38,729468.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6ZU65,Ubinuclein-2 OS=Homo sapiens OX=9606 GN=UBN2 PE=1 SV=2,5,6,14,6,146,UBN2,285112.81,409445.78,882719.11,1202385.22,251320.73,1273754.13,856823.72,554497.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P20042,Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2,16,5,14,5,38.4,EIF2S2,1842405.53,5844876.73,1766660.87,851899.00,514928.41,4950223.66,2051103.50,38816.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NRX1,RNA-binding protein PNO1 OS=Homo sapiens OX=9606 GN=PNO1 PE=1 SV=1,22,5,14,5,27.9,PNO1,1112541.63,2798298.23,701373.78,723033.44,258750.98,2404672.34,860776.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62857,40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1,30,2,14,2,7.8,RPS28,1816121.94,5093125.38,786025.31,482028.64,311779.41,2562980.00,781853.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P47914,60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2,14,2,14,2,17.7,RPL29,5478603.25,12355705.25,1242752.28,2503547.00,556412.18,9352145.75,3206055.94,190779.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NRL3,Striatin-4 OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=2,8,5,13,5,80.5,STRN4,330171.91,3994390.66,816807.54,597664.37,133726.36,1309188.94,988351.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75694,Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1,4,5,13,5,155.1,NUP155,,594927.15,103650.22,123305.81,208297.91,732706.21,319310.66,1077868.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06493,Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3,17,4,13,3,34.1,CDK1,203172.89,3005284.81,644645.89,359522.72,157820.72,3684599.50,520687.10,31866.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UQ03,Coronin-2B OS=Homo sapiens OX=9606 GN=CORO2B PE=1 SV=4,10,5,13,5,54.9,CORO2B,675727.25,1437392.38,183093.21,124084.96,124636.45,1788453.66,685277.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14694,Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens OX=9606 GN=USP10 PE=1 SV=2,11,7,13,7,87.1,USP10,238973.53,2257849.36,527775.31,548105.65,364950.23,3295596.94,1930627.91,39016.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13242,Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1,20,4,13,4,25.5,SRSF9,3068950.34,3233955.97,966370.25,1143075.66,403239.44,3978721.42,1317143.83,113135.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P67809,Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3,20,3,13,3,35.9,YBX1,801768.27,2257779.13,221904.20,185976.73,99045.83,2052316.88,962639.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92945,Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,9,5,13,5,73.1,KHSRP,576981.83,2123793.94,340750.30,694756.53,504717.73,1272446.27,1034528.17,164976.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96P63,Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1,8,3,13,3,46.2,SERPINB12,247818.44,712865.53,1041172.30,1389737.97,178750.97,562039.81,730364.38,467182.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07737,Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2,31,3,13,3,15,PFN1,784850.81,777904.09,217140.64,452574.95,291709.59,1754914.47,257237.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13619,Cullin-4A OS=Homo sapiens OX=9606 GN=CUL4A PE=1 SV=3,10,7,13,7,87.6,CUL4A,67323.78,1461699.30,339696.42,624875.20,83490.01,1122151.16,1042894.10,68320.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NQW6,Anillin OS=Homo sapiens OX=9606 GN=ANLN PE=1 SV=2,9,8,13,8,124.1,ANLN,1526798.77,4688055.13,339457.55,491756.02,297219.14,3240230.48,2244921.51,122769.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6PGN9,Proline/serine-rich coiled-coil protein 1 OS=Homo sapiens OX=9606 GN=PSRC1 PE=1 SV=1,7,2,13,2,38.8,PSRC1,130055.26,466248.84,461419.99,600847.02,413925.55,651548.59,670953.70,234046.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P81605,Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2,20,2,13,2,11.3,DCD,2279156.88,426392.75,560412.88,1591908.28,468975.41,1785289.47,1555034.78,610847.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75151,Lysine-specific demethylase PHF2 OS=Homo sapiens OX=9606 GN=PHF2 PE=1 SV=4,3,3,13,3,120.7,PHF2,1879191.25,2698716.16,869823.14,1224854.38,741748.05,2228814.31,2037524.59,32244.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P63000,Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens OX=9606 GN=RAC1 PE=1 SV=1,17,3,13,3,21.4,RAC1,446739.53,2879734.19,862091.55,858586.41,442085.80,2477952.50,954228.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92544,Transmembrane 9 superfamily member 4 OS=Homo sapiens OX=9606 GN=TM9SF4 PE=1 SV=2,4,3,13,3,74.5,TM9SF4,910135.14,2544925.05,1620929.45,1272471.81,706839.47,1926281.63,1927268.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UHX1,Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1,11,6,13,6,59.8,PUF60,494999.00,3354497.25,1711703.61,2539242.20,883905.28,2548330.30,1695416.27,72824.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8TEW0,Partitioning defective 3 homolog OS=Homo sapiens OX=9606 GN=PARD3 PE=1 SV=2,7,7,13,7,151.3,PARD3,581579.70,188797.03,78245.63,270367.54,124673.14,742420.81,859841.91,508868.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
