Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=0; WT TAZ; Abundance 1226503,t=24; WT TAZ; Abundance 1226504,t=36; WT TAZ; Abundance 1226505,t=48; WT TAZ; Abundance 1226506,t=0; Y2 TAZ; Abundance 1226507,t=24; Y2 TAZ; Abundance 1226508,t=36; Y2 TAZ; Abundance 1226509,t=48; Y2 TAZ; Abundance 1226510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5VSL9,Striatin-interacting protein 1 OS=Homo sapiens OX=9606 GN=STRIP1 PE=1 SV=1,5,4,10,2,95.5,STRIP1,4.01E+05,4.89E+05,1.03E+06,1.14E+06,,3.11E+04,1.32E+05,4.05E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N3X1,Formin-binding protein 4 OS=Homo sapiens OX=9606 GN=FNBP4 PE=1 SV=3,2,2,5,2,110.2,FNBP4,1.37E+05,1.55E+05,3.22E+05,6.63E+05,2.26E+04,3.09E+04,1.06E+05,1.95E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y3B2,Exosome complex component CSL4 OS=Homo sapiens OX=9606 GN=EXOSC1 PE=1 SV=1,27,4,5,4,21.4,EXOSC1,6.54E+05,6.07E+05,9.09E+05,1.03E+06,,3.09E+04,1.25E+05,3.29E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43747,AP-1 complex subunit gamma-1 OS=Homo sapiens OX=9606 GN=AP1G1 PE=1 SV=5,18,10,25,10,91.3,AP1G1,1.57E+06,3.52E+06,3.87E+06,2.96E+06,,3.08E+04,7.03E+05,6.46E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y2K7,Lysine-specific demethylase 2A OS=Homo sapiens OX=9606 GN=KDM2A PE=1 SV=3,2,2,4,2,132.7,KDM2A,1.34E+05,4.07E+05,7.21E+05,9.55E+05,,3.07E+04,2.86E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P53582,Methionine aminopeptidase 1 OS=Homo sapiens OX=9606 GN=METAP1 PE=1 SV=2,16,3,5,3,43.2,METAP1,9.64E+05,1.17E+06,1.70E+06,2.14E+06,,3.07E+04,2.64E+05,4.39E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7L0Y3,tRNA methyltransferase 10 homolog C OS=Homo sapiens OX=9606 GN=TRMT10C PE=1 SV=2,18,6,9,6,47.3,TRMT10C,4.05E+05,6.92E+05,1.05E+06,1.63E+06,1.60E+04,3.07E+04,2.51E+05,9.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86YM7,Homer protein homolog 1 OS=Homo sapiens OX=9606 GN=HOMER1 PE=1 SV=2,18,6,12,6,40.3,HOMER1,8.28E+05,5.44E+05,1.80E+06,2.17E+06,,3.06E+04,3.89E+05,1.29E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y597,BTB/POZ domain-containing protein KCTD3 OS=Homo sapiens OX=9606 GN=KCTD3 PE=1 SV=2,8,5,12,3,88.9,KCTD3,1.26E+06,1.05E+06,2.03E+06,2.06E+06,,3.04E+04,2.26E+05,1.27E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y2Z4,"Tyrosine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=YARS2 PE=1 SV=2",13,4,7,4,53.2,YARS2,3.24E+05,2.53E+05,6.08E+05,8.95E+05,,3.03E+04,2.14E+05,5.44E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13595,Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1,23,5,22,4,32.7,TRA2A,7.63E+05,2.57E+06,5.38E+06,4.30E+06,2.28E+04,3.03E+04,9.55E+05,1.81E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y285,Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens OX=9606 GN=FARSA PE=1 SV=3,15,5,13,5,57.5,FARSA,3.83E+05,5.20E+05,3.18E+05,1.10E+06,,3.02E+04,1.37E+05,8.20E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P17858,"ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6",4,3,4,1,85,PFKL,1.12E+05,1.42E+05,1.50E+05,3.56E+05,,3.01E+04,9.74E+04,6.42E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49458,Signal recognition particle 9 kDa protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=2,31,3,9,3,10.1,SRP9,8.20E+05,8.30E+05,1.90E+06,4.95E+06,,3.01E+04,2.92E+05,9.15E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BSD7,Cancer-related nucleoside-triphosphatase OS=Homo sapiens OX=9606 GN=NTPCR PE=1 SV=1,23,3,5,3,20.7,NTPCR,1.60E+05,1.91E+05,1.52E+05,2.35E+05,,3.00E+04,1.40E+05,6.83E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens OX=9606 GN=CACNA2D1 PE=1 SV=3,2,2,3,2,124.5,CACNA2D1,1.81E+05,1.86E+05,7.09E+05,6.11E+05,4.79E+04,3.00E+04,5.96E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35658,Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2,5,6,20,6,213.5,NUP214,,2.51E+05,7.69E+05,1.17E+06,,2.98E+04,2.36E+05,6.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60313,"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens OX=9606 GN=OPA1 PE=1 SV=3",17,10,15,10,111.6,OPA1,1.37E+06,1.02E+06,3.64E+06,4.39E+06,1.01E+04,2.98E+04,5.80E+05,9.74E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00267,Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1,20,17,40,17,120.9,SUPT5H,1.98E+06,2.97E+06,7.71E+06,8.29E+06,2.35E+04,2.95E+04,9.61E+05,1.29E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UHR4,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens OX=9606 GN=BAIAP2L1 PE=1 SV=2,18,6,15,6,56.8,BAIAP2L1,1.25E+06,1.15E+06,2.49E+06,2.10E+06,,2.94E+04,1.61E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6UWP8,Suprabasin OS=Homo sapiens OX=9606 GN=SBSN PE=1 SV=2,6,1,1,1,60.5,SBSN,3.59E+04,6.94E+04,,8.29E+04,1.47E+04,2.93E+04,5.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92552,"28S ribosomal protein S27, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS27 PE=1 SV=3",6,2,5,2,47.6,MRPS27,3.69E+05,3.03E+05,5.66E+05,7.70E+05,3.26E+04,2.93E+04,1.96E+05,5.93E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P40616,ADP-ribosylation factor-like protein 1 OS=Homo sapiens OX=9606 GN=ARL1 PE=1 SV=1,6,1,4,1,20.4,ARL1,1.43E+05,1.57E+05,3.72E+05,6.56E+05,,2.92E+04,8.08E+04,9.74E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13618,Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=2,13,7,10,7,88.9,CUL3,2.18E+05,9.94E+05,2.72E+06,2.75E+06,,2.92E+04,1.44E+05,6.03E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NDT2,Putative RNA-binding protein 15B OS=Homo sapiens OX=9606 GN=RBM15B PE=1 SV=3,7,6,12,4,97.1,RBM15B,5.12E+05,7.94E+05,1.93E+06,1.81E+06,1.34E+04,2.91E+04,2.61E+05,1.06E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y3C6,Peptidyl-prolyl cis-trans isomerase-like 1 OS=Homo sapiens OX=9606 GN=PPIL1 PE=1 SV=1,10,1,2,1,18.2,PPIL1,1.60E+05,1.62E+05,3.60E+05,9.95E+05,,2.89E+04,6.64E+04,2.88E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q8TCG1,Protein CIP2A OS=Homo sapiens OX=9606 GN=CIP2A PE=1 SV=2,1,1,1,1,102.1,CIP2A,4.91E+05,4.08E+05,4.43E+05,7.61E+05,,2.89E+04,4.56E+04,1.30E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P02585,"Troponin C, skeletal muscle OS=Homo sapiens OX=9606 GN=TNNC2 PE=1 SV=2",4,1,3,1,18.1,TNNC2,3.68E+05,2.49E+05,6.86E+05,1.02E+06,3.58E+04,2.89E+04,1.10E+05,3.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,P43686,26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,2,1,1,1,47.3,PSMC4,8.06E+04,,,2.65E+05,2.30E+04,2.88E+04,1.20E+05,7.98E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60293,Zinc finger C3H1 domain-containing protein OS=Homo sapiens OX=9606 GN=ZFC3H1 PE=1 SV=3,7,12,22,12,226.2,ZFC3H1,4.80E+05,1.17E+06,2.92E+06,2.97E+06,2.25E+04,2.87E+04,5.81E+04,2.00E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WYH8,Inhibitor of growth protein 5 OS=Homo sapiens OX=9606 GN=ING5 PE=1 SV=1,3,1,2,1,27.7,ING5,2.66E+05,2.26E+05,6.84E+05,9.68E+05,,2.86E+04,1.27E+05,1.62E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P23381,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=WARS1 PE=1 SV=2",8,2,3,2,53.1,WARS1,8.43E+04,1.18E+05,5.23E+05,7.62E+05,,2.86E+04,1.37E+05,9.28E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BSJ8,Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,3,2,9,2,122.8,ESYT1,3.05E+05,2.46E+05,7.58E+05,8.14E+05,,2.85E+04,1.50E+05,9.15E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62495,Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=3,12,4,14,4,49,ETF1,5.21E+05,7.10E+05,2.02E+06,1.93E+06,,2.84E+04,2.66E+05,4.07E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96SB8,Structural maintenance of chromosomes protein 6 OS=Homo sapiens OX=9606 GN=SMC6 PE=1 SV=2,16,11,38,11,126.2,SMC6,1.73E+06,2.43E+06,3.38E+06,6.46E+06,,2.84E+04,3.69E+05,9.89E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q56VL3,OCIA domain-containing protein 2 OS=Homo sapiens OX=9606 GN=OCIAD2 PE=1 SV=1,8,1,5,1,16.9,OCIAD2,1.93E+05,6.08E+04,6.51E+05,1.04E+06,,2.84E+04,7.13E+04,1.08E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49903,"Selenide, water dikinase 1 OS=Homo sapiens OX=9606 GN=SEPHS1 PE=1 SV=2",4,1,1,1,42.9,SEPHS1,1.88E+05,1.11E+05,2.25E+05,2.05E+05,,2.83E+04,6.29E+04,2.08E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95400,CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens OX=9606 GN=CD2BP2 PE=1 SV=1,13,4,19,4,37.6,CD2BP2,5.93E+05,1.18E+06,1.20E+06,2.20E+06,,2.81E+04,2.73E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UNP9,Peptidyl-prolyl cis-trans isomerase E OS=Homo sapiens OX=9606 GN=PPIE PE=1 SV=1,9,2,4,2,33.4,PPIE,2.86E+05,4.28E+05,8.12E+05,1.24E+06,2.82E+04,2.81E+04,1.23E+05,5.72E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99873,Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=3,7,2,2,2,42.4,PRMT1,,1.50E+05,6.00E+05,3.31E+05,,2.80E+04,9.32E+04,8.59E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14011,Cold-inducible RNA-binding protein OS=Homo sapiens OX=9606 GN=CIRBP PE=1 SV=1,27,3,11,3,18.6,CIRBP,4.82E+05,6.77E+05,1.24E+06,1.74E+06,2.41E+04,2.78E+04,7.51E+04,3.98E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99615,DnaJ homolog subfamily C member 7 OS=Homo sapiens OX=9606 GN=DNAJC7 PE=1 SV=2,9,4,10,4,56.4,DNAJC7,2.32E+05,4.35E+05,1.67E+06,2.10E+06,,2.77E+04,2.50E+05,1.44E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P50750,Cyclin-dependent kinase 9 OS=Homo sapiens OX=9606 GN=CDK9 PE=1 SV=3,17,5,25,4,42.8,CDK9,2.61E+05,1.15E+06,1.89E+06,1.52E+06,,2.77E+04,2.86E+05,3.95E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96T76,MMS19 nucleotide excision repair protein homolog OS=Homo sapiens OX=9606 GN=MMS19 PE=1 SV=2,9,6,14,6,113.2,MMS19,5.12E+05,7.46E+05,2.10E+06,2.54E+06,,2.77E+04,1.70E+05,1.49E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13112,Chromatin assembly factor 1 subunit B OS=Homo sapiens OX=9606 GN=CHAF1B PE=1 SV=1,10,4,8,4,61.5,CHAF1B,3.11E+05,7.19E+05,1.80E+06,1.50E+06,,2.77E+04,1.88E+05,6.99E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95747,Serine/threonine-protein kinase OSR1 OS=Homo sapiens OX=9606 GN=OXSR1 PE=1 SV=1,4,2,8,2,58,OXSR1,3.89E+05,3.29E+05,1.03E+06,1.03E+06,,2.75E+04,1.92E+05,7.78E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00303,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,19,5,13,5,37.5,EIF3F,6.45E+05,1.09E+06,2.58E+06,2.65E+06,2.54E+04,2.74E+04,2.92E+05,3.41E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P56134,"ATP synthase subunit f, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MF PE=1 SV=3",26,2,12,2,10.9,ATP5MF,2.05E+05,1.92E+05,9.27E+05,1.95E+06,,2.72E+04,3.16E+05,1.70E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UBB9,Tuftelin-interacting protein 11 OS=Homo sapiens OX=9606 GN=TFIP11 PE=1 SV=1,12,8,9,8,96.8,TFIP11,2.19E+05,7.30E+05,1.94E+06,2.44E+06,,2.72E+04,1.56E+05,3.74E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,Q8WZ42,Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=4,0,1,3,1,3813.7,TTN,1.27E+05,1.71E+05,9.11E+05,2.68E+05,,2.71E+04,3.26E+05,1.12E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96QZ7,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MAGI1 PE=1 SV=3",18,18,38,17,164.5,MAGI1,3.40E+06,9.36E+06,1.05E+07,7.43E+06,1.98E+04,2.71E+04,1.68E+05,2.18E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P55060,Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3,26,18,36,18,110.3,CSE1L,1.57E+06,9.78E+05,7.88E+06,7.02E+06,7.16E+04,2.70E+04,1.98E+05,2.79E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11172,Uridine 5'-monophosphate synthase OS=Homo sapiens OX=9606 GN=UMPS PE=1 SV=1,2,1,2,1,52.2,UMPS,1.00E+05,9.34E+04,2.47E+05,2.03E+05,,2.70E+04,6.53E+04,8.08E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P05067,Amyloid-beta precursor protein OS=Homo sapiens OX=9606 GN=APP PE=1 SV=3,1,1,3,1,86.9,APP,3.71E+05,4.56E+05,1.35E+06,6.69E+05,,2.69E+04,7.77E+04,2.16E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NUQ2,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon OS=Homo sapiens OX=9606 GN=AGPAT5 PE=1 SV=3,9,3,6,3,42,AGPAT5,4.55E+05,6.74E+05,1.82E+06,2.71E+06,,2.69E+04,2.53E+05,3.66E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6PD62,RNA polymerase-associated protein CTR9 homolog OS=Homo sapiens OX=9606 GN=CTR9 PE=1 SV=1,11,10,17,10,133.4,CTR9,8.21E+05,1.34E+06,4.11E+06,3.95E+06,,2.68E+04,9.31E+05,1.16E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92797,Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=2,12,11,28,11,141.1,SYMPK,2.56E+06,2.50E+06,6.59E+06,7.06E+06,,2.68E+04,1.28E+05,1.10E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NVU7,Protein SDA1 homolog OS=Homo sapiens OX=9606 GN=SDAD1 PE=1 SV=3,12,8,16,8,79.8,SDAD1,9.19E+05,1.51E+06,1.94E+06,4.50E+06,1.03E+04,2.67E+04,7.33E+04,3.99E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y4K1,Beta/gamma crystallin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CRYBG1 PE=1 SV=3,21,26,74,26,188.6,,8.28E+06,9.52E+06,1.70E+07,8.35E+06,1.42E+04,2.67E+04,2.34E+05,5.91E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12955,Ankyrin-3 OS=Homo sapiens OX=9606 GN=ANK3 PE=1 SV=3,9,28,77,26,480.1,ANK3,1.18E+07,8.69E+06,1.80E+07,1.57E+07,,2.66E+04,2.99E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96RE7,Nucleus accumbens-associated protein 1 OS=Homo sapiens OX=9606 GN=NACC1 PE=1 SV=1,2,1,2,1,57.2,NACC1,,7.57E+04,1.81E+05,1.91E+05,,2.65E+04,6.02E+04,2.58E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5VUJ6,Leucine-rich repeat and calponin homology domain-containing protein 2 OS=Homo sapiens OX=9606 GN=LRCH2 PE=1 SV=2,7,4,9,4,84.5,LRCH2,1.16E+06,5.29E+05,7.87E+05,6.75E+05,,2.65E+04,1.03E+05,1.71E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9Y399,"28S ribosomal protein S2, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS2 PE=1 SV=1",3,1,3,1,33.2,MRPS2,1.43E+05,1.89E+05,3.84E+05,4.75E+05,,2.64E+04,9.15E+04,7.99E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P78364,Polyhomeotic-like protein 1 OS=Homo sapiens OX=9606 GN=PHC1 PE=1 SV=3,3,2,5,2,105.5,PHC1,2.53E+05,4.49E+05,9.81E+05,1.01E+06,,2.63E+04,8.52E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P19387,DNA-directed RNA polymerase II subunit RPB3 OS=Homo sapiens OX=9606 GN=POLR2C PE=1 SV=2,25,6,14,6,31.4,POLR2C,7.43E+05,7.11E+05,3.24E+06,3.94E+06,,2.62E+04,5.04E+05,9.18E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96C36,Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1,13,3,17,2,33.6,PYCR2,1.20E+05,2.39E+05,5.03E+05,5.65E+05,,2.62E+04,1.93E+05,5.55E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60508,Pre-mRNA-processing factor 17 OS=Homo sapiens OX=9606 GN=CDC40 PE=1 SV=1,14,7,11,7,65.5,CDC40,3.60E+05,4.48E+05,1.47E+06,3.07E+06,2.14E+04,2.62E+04,1.77E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P17980,26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,4,2,2,2,49.2,PSMC3,,,1.34E+05,,,2.62E+04,9.03E+04,8.51E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75683,Surfeit locus protein 6 OS=Homo sapiens OX=9606 GN=SURF6 PE=1 SV=3,13,5,7,5,41.4,SURF6,9.02E+05,1.86E+06,2.60E+06,3.48E+06,2.90E+04,2.61E+04,1.50E+05,2.03E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P57088,Transmembrane protein 33 OS=Homo sapiens OX=9606 GN=TMEM33 PE=1 SV=2,26,6,14,6,28,TMEM33,1.46E+05,1.03E+05,2.06E+06,5.27E+06,7.51E+03,2.58E+04,4.49E+05,1.97E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q4KMQ1,Taperin OS=Homo sapiens OX=9606 GN=TPRN PE=1 SV=2,15,8,10,8,75.5,TPRN,2.18E+06,1.42E+06,2.15E+06,4.07E+06,,2.58E+04,9.79E+05,1.18E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95864,Acyl-CoA 6-desaturase OS=Homo sapiens OX=9606 GN=FADS2 PE=1 SV=1,14,5,15,5,52.2,FADS2,8.61E+05,2.49E+05,3.76E+06,8.17E+06,3.04E+04,2.58E+04,3.97E+05,1.32E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13835,Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2,14,9,12,9,82.8,PKP1,3.31E+05,2.26E+06,4.05E+05,6.42E+05,7.87E+03,2.57E+04,1.47E+06,1.70E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,Q6ZTR7,CBY1-interacting BAR domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CIBAR2 PE=1 SV=2,2,1,1,1,34.7,CIBAR2,1.83E+05,3.06E+05,7.20E+05,6.70E+05,,2.57E+04,1.66E+05,6.67E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49915,GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=GMPS PE=1 SV=1,16,6,12,6,76.7,GMPS,4.62E+05,3.89E+05,1.30E+06,1.41E+06,,2.57E+04,6.42E+05,3.55E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=C1QBP PE=1 SV=1",5,1,5,1,31.3,C1QBP,1.79E+05,1.55E+05,5.65E+05,6.77E+05,,2.56E+04,1.73E+05,6.27E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O15047,Histone-lysine N-methyltransferase SETD1A OS=Homo sapiens OX=9606 GN=SETD1A PE=1 SV=3,6,7,11,7,185.9,SETD1A,3.47E+05,7.35E+05,1.37E+06,1.46E+06,,2.51E+04,2.44E+05,8.09E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y3E1,Hepatoma-derived growth factor-related protein 3 OS=Homo sapiens OX=9606 GN=HDGFL3 PE=1 SV=1,16,3,9,1,22.6,HDGFL3,1.50E+05,2.68E+05,8.02E+05,7.13E+05,,2.49E+04,1.97E+05,2.26E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14579,Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3,29,5,12,5,34.5,COPE,5.55E+05,1.45E+06,2.54E+06,2.30E+06,,2.49E+04,2.70E+05,7.12E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96T23,Remodeling and spacing factor 1 OS=Homo sapiens OX=9606 GN=RSF1 PE=1 SV=2,5,6,20,6,163.7,RSF1,4.32E+05,6.83E+05,1.13E+06,1.38E+06,,2.49E+04,1.60E+05,1.01E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NVI1,Fanconi anemia group I protein OS=Homo sapiens OX=9606 GN=FANCI PE=1 SV=4,7,7,7,7,149.2,FANCI,,1.06E+05,8.12E+05,1.00E+06,,2.48E+04,8.82E+04,1.54E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,Q9Y697,"Cysteine desulfurase, mitochondrial OS=Homo sapiens OX=9606 GN=NFS1 PE=1 SV=3",2,1,1,1,50.2,NFS1,1.51E+05,2.41E+05,7.15E+05,3.34E+05,,2.47E+04,1.58E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UKX7,Nuclear pore complex protein Nup50 OS=Homo sapiens OX=9606 GN=NUP50 PE=1 SV=2,26,7,14,7,50.1,NUP50,5.58E+05,1.01E+06,2.75E+06,3.73E+06,,2.47E+04,3.11E+05,3.75E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
