Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,"t=24 WT TAZ, Abundance QEX3_1244798","t=24 YT2 TAZ, Abundance QEX3_1244799","t=24 WT YAP, Abundance QEX3_1244800","t=24 YT2 TAZ, Abundance QEX3_1244801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NUD5,Zinc finger CCHC domain-containing protein 3 OS=Homo sapiens OX=9606 GN=ZCCHC3 PE=1 SV=2,14,4,7,4,43.5,ZCCHC3,545803.36,28384.03,792117.73,40467.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q68CQ4,U3 small nucleolar RNA-associated protein 25 homolog OS=Homo sapiens OX=9606 GN=UTP25 PE=1 SV=2,6,5,7,5,87,UTP25,212714.17,,270511.02,3101.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P53396,ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,3,2,7,2,120.8,ACLY,315194.08,170222.73,71334.50,46863.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UG63,ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2,7,4,7,4,71.2,ABCF2,250337.30,,360689.36,8309.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6IBS0,Twinfilin-2 OS=Homo sapiens OX=9606 GN=TWF2 PE=1 SV=2,16,4,7,3,39.5,TWF2,306375.99,,592350.19,25544.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9C0C2,182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4,3,4,7,4,181.7,TNKS1BP1,161225.59,4674.31,269360.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P40227,T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,15,6,7,6,58,CCT6A,154892.71,,174449.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N3C0,Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens OX=9606 GN=ASCC3 PE=1 SV=3,3,7,7,7,251.3,ASCC3,369469.23,,630215.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P48729,Casein kinase I isoform alpha OS=Homo sapiens OX=9606 GN=CSNK1A1 PE=1 SV=2,14,5,7,4,38.9,CSNK1A1,312541.28,2451.72,473843.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35250,Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=3,16,5,7,5,39.1,RFC2,629100.54,36969.77,952201.37,38823.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P01111,GTPase NRas OS=Homo sapiens OX=9606 GN=NRAS PE=1 SV=1,19,2,7,2,21.2,NRAS,492085.98,322544.02,484296.58,300357.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BTC0,Death-inducer obliterator 1 OS=Homo sapiens OX=9606 GN=DIDO1 PE=1 SV=5,1,3,7,3,243.7,DIDO1,206232.49,42319.78,265501.14,21011.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09661,U2 small nuclear ribonucleoprotein A' OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2,20,4,7,4,28.4,SNRPA1,267698.13,13110.41,430829.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q969Q0,Ribosomal protein eL42-like OS=Homo sapiens OX=9606 GN=RPL36AL PE=1 SV=3,27,4,7,1,12.5,RPL36AL,92072.98,,84445.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6RFH5,WD repeat-containing protein 74 OS=Homo sapiens OX=9606 GN=WDR74 PE=1 SV=1,18,5,7,5,42.4,WDR74,134130.81,,224863.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H9Y6,DNA-directed RNA polymerase I subunit RPA2 OS=Homo sapiens OX=9606 GN=POLR1B PE=1 SV=2,6,6,7,6,128.1,POLR1B,99747.54,7567.54,210808.68,7799.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5T750,Protein KPLCE OS=Homo sapiens OX=9606 GN=KPLCE PE=1 SV=1,16,4,7,4,26.2,KPLCE,212141.30,113400.04,,1167174.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P56537,Eukaryotic translation initiation factor 6 OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1,20,3,7,3,26.6,EIF6,322007.60,16478.63,630315.81,17381.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P83881,Large ribosomal subunit protein eL42 OS=Homo sapiens OX=9606 GN=RPL36A PE=1 SV=2,25,4,7,1,12.4,RPL36A,966784.02,18666.75,1448032.95,22465.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BXP5,Serrate RNA effector molecule homolog OS=Homo sapiens OX=9606 GN=SRRT PE=1 SV=1,8,6,7,6,100.6,SRRT,503866.70,49895.05,657460.24,72540.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P40937,Replication factor C subunit 5 OS=Homo sapiens OX=9606 GN=RFC5 PE=1 SV=1,15,4,7,4,38.5,RFC5,332628.40,19012.34,501153.26,21783.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NVH1,DnaJ homolog subfamily C member 11 OS=Homo sapiens OX=9606 GN=DNAJC11 PE=1 SV=2,11,5,7,5,63.2,DNAJC11,675736.88,,251641.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95347,Structural maintenance of chromosomes protein 2 OS=Homo sapiens OX=9606 GN=SMC2 PE=1 SV=2,3,3,7,3,135.6,SMC2,196313.66,,287177.78,4318.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q1KMD3,Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1,8,5,7,5,85.1,HNRNPUL2,251725.09,12212.92,268108.35,17496.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P2F8,Signal-induced proliferation-associated 1-like protein 2 OS=Homo sapiens OX=9606 GN=SIPA1L2 PE=1 SV=2,4,5,7,4,190.3,SIPA1L2,40677.05,,62704.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P275,Ubiquitin carboxyl-terminal hydrolase 36 OS=Homo sapiens OX=9606 GN=USP36 PE=1 SV=4,5,6,7,6,122.8,USP36,736262.45,570490.75,799454.43,1631277.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96FV9,THO complex subunit 1 OS=Homo sapiens OX=9606 GN=THOC1 PE=1 SV=1,4,3,6,3,75.6,THOC1,265921.79,72941.96,365430.11,58913.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14593,Zinc finger protein 273 OS=Homo sapiens OX=9606 GN=ZNF273 PE=1 SV=3,10,3,6,1,64.9,ZNF273,163917.83,20826.40,159035.52,11576.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H6R0,ATP-dependent RNA helicase DHX33 OS=Homo sapiens OX=9606 GN=DHX33 PE=1 SV=2,7,5,6,5,78.8,DHX33,336987.34,18549.25,551307.25,13795.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P22735,Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens OX=9606 GN=TGM1 PE=1 SV=4,6,4,6,4,89.7,TGM1,,76738.13,60379.50,193345.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86VM9,Zinc finger CCCH domain-containing protein 18 OS=Homo sapiens OX=9606 GN=ZC3H18 PE=1 SV=2,6,4,6,4,106.3,ZC3H18,218154.21,11982.65,356967.36,3647.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92576,PHD finger protein 3 OS=Homo sapiens OX=9606 GN=PHF3 PE=1 SV=3,3,4,6,4,229.3,PHF3,216412.55,10981.00,341185.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IX01,SURP and G-patch domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUGP2 PE=1 SV=2,5,5,6,5,120.1,SUGP2,389869.02,44097.02,524680.21,29071.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95819,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=2,2,3,6,3,142,MAP4K4,462350.74,11185.12,528276.84,11643.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0DI83,"Ras-related protein Rab-34, isoform NARR OS=Homo sapiens OX=9606 GN=RAB34 PE=1 SV=1",16,3,6,3,21.1,RAB34,580660.38,32524.89,402001.75,12030.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P00966,Argininosuccinate synthase OS=Homo sapiens OX=9606 GN=ASS1 PE=1 SV=2,7,2,6,2,46.5,ASS1,143376.86,54976.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N684,Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1,8,4,6,4,52,CPSF7,298991.71,20678.03,384433.43,36300.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96GD4,Aurora kinase B OS=Homo sapiens OX=9606 GN=AURKB PE=1 SV=3,13,4,6,4,39.3,AURKB,137958.05,,196163.66,7817.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q06330,Recombining binding protein suppressor of hairless OS=Homo sapiens OX=9606 GN=RBPJ PE=1 SV=3,7,3,6,3,55.6,RBPJ,219055.00,12890.83,290637.29,41183.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BVI4,Nucleolar complex protein 4 homolog OS=Homo sapiens OX=9606 GN=NOC4L PE=1 SV=1,15,6,6,6,58.4,NOC4L,311941.20,,526739.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N1G0,Zinc finger protein 687 OS=Homo sapiens OX=9606 GN=ZNF687 PE=1 SV=1,4,4,6,3,129.4,ZNF687,291324.44,,460957.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NUQ6,SPATS2-like protein OS=Homo sapiens OX=9606 GN=SPATS2L PE=1 SV=2,11,4,6,4,61.7,SPATS2L,106826.89,,154820.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49458,Signal recognition particle 9 kDa protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=2,33,3,6,3,10.1,SRP9,460236.22,,787447.38,5093.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9HCE1,Helicase MOV-10 OS=Homo sapiens OX=9606 GN=MOV10 PE=1 SV=2,5,5,6,5,113.6,MOV10,290695.84,7427.33,251597.65,16567.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5RKV6,Exosome complex component MTR3 OS=Homo sapiens OX=9606 GN=EXOSC6 PE=1 SV=1,14,3,6,3,28.2,EXOSC6,250002.98,,380679.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86W42,THO complex subunit 6 homolog OS=Homo sapiens OX=9606 GN=THOC6 PE=1 SV=1,12,3,6,3,37.5,THOC6,182877.94,24495.45,212089.48,28361.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y221,60S ribosome subunit biogenesis protein NIP7 homolog OS=Homo sapiens OX=9606 GN=NIP7 PE=1 SV=1,18,3,6,3,20.4,NIP7,510821.30,33807.19,701529.16,28517.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00139,Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3,5,4,6,4,79.9,KIF2A,283499.37,,473784.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12965,Unconventional myosin-Ie OS=Homo sapiens OX=9606 GN=MYO1E PE=1 SV=2,4,4,6,3,127,MYO1E,344403.83,,415681.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43293,Death-associated protein kinase 3 OS=Homo sapiens OX=9606 GN=DAPK3 PE=1 SV=1,6,3,6,2,52.5,DAPK3,181700.84,,300718.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IZ40,REST corepressor 2 OS=Homo sapiens OX=9606 GN=RCOR2 PE=1 SV=2,11,4,6,4,58,RCOR2,281966.80,8611.96,606323.24,10828.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61221,ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1,7,4,6,4,67.3,ABCE1,207942.95,,278954.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P80723,Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2,38,4,6,4,22.7,BASP1,343583.98,,157113.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14151,Scaffold attachment factor B2 OS=Homo sapiens OX=9606 GN=SAFB2 PE=1 SV=1,4,4,6,1,107.4,SAFB2,896375.16,208793.79,994595.17,162768.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P40938,Replication factor C subunit 3 OS=Homo sapiens OX=9606 GN=RFC3 PE=1 SV=2,22,6,6,6,40.5,RFC3,237722.21,,442295.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P63241,Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens OX=9606 GN=EIF5A PE=1 SV=2,13,2,6,2,16.8,EIF5A,425191.69,5755.38,305212.16,7411.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92747,Actin-related protein 2/3 complex subunit 1A OS=Homo sapiens OX=9606 GN=ARPC1A PE=1 SV=2,6,3,6,3,41.5,ARPC1A,496085.00,,639716.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H0R6,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial OS=Homo sapiens OX=9606 GN=QRSL1 PE=1 SV=2",13,6,6,6,57.4,QRSL1,1555032.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UPP1,Histone lysine demethylase PHF8 OS=Homo sapiens OX=9606 GN=PHF8 PE=1 SV=3,3,3,6,2,117.8,PHF8,136183.14,15631.25,181928.63,11264.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NZM5,Ribosome biogenesis protein NOP53 OS=Homo sapiens OX=9606 GN=NOP53 PE=1 SV=2,5,2,6,2,54.4,NOP53,122234.17,,201181.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q03001,Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4,1,6,6,6,860.1,DST,1051690.81,689791.38,77161.72,33831.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6DKI1,Ribosomal protein uL30-like OS=Homo sapiens OX=9606 GN=RPL7L1 PE=1 SV=2,19,4,6,4,29.7,RPL7L1,597954.46,202980.44,456063.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12830,Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3,2,4,6,4,338.1,BPTF,,,66779.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95785,Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=2,4,4,6,4,178.6,WIZ,184862.16,4266.00,302818.55,4552.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0DOX7,Immunoglobulin kappa light chain OS=Homo sapiens OX=9606 PE=1 SV=1,15,2,6,2,23.4,,371008.60,325420.77,263333.61,276080.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9GZR2,RNA exonuclease 4 OS=Homo sapiens OX=9606 GN=REXO4 PE=1 SV=2,11,4,6,4,46.6,REXO4,335347.29,15266.46,447967.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0CG12,Decreased expression in renal and prostate cancer protein OS=Homo sapiens OX=9606 GN=DERPC PE=1 SV=1,7,3,6,3,51.4,DERPC,,221169.97,,138078.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43913,Origin recognition complex subunit 5 OS=Homo sapiens OX=9606 GN=ORC5 PE=1 SV=1,7,3,6,3,50.3,ORC5,167375.93,,337799.10,7999.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P30876,DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=1,2,3,6,3,133.8,POLR2B,215707.65,,329635.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BXY0,Protein MAK16 homolog OS=Homo sapiens OX=9606 GN=MAK16 PE=1 SV=2,9,3,6,3,35.3,MAK16,523930.27,12888.92,758981.61,11747.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7L014,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2,3,3,6,3,117.3,DDX46,293088.09,11375.97,326515.78,24838.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IVW6,AT-rich interactive domain-containing protein 3B OS=Homo sapiens OX=9606 GN=ARID3B PE=1 SV=2,8,4,6,4,60.6,ARID3B,177307.58,85938.83,321203.64,65300.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15287,RNA-binding protein with serine-rich domain 1 OS=Homo sapiens OX=9606 GN=RNPS1 PE=1 SV=1,10,3,6,3,34.2,RNPS1,271630.43,59881.74,323555.87,31054.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46063,ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3,7,4,6,3,73.4,RECQL,269643.58,6952.65,436595.11,32979.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NZ01,Very-long-chain enoyl-CoA reductase OS=Homo sapiens OX=9606 GN=TECR PE=1 SV=1,11,4,6,4,36,TECR,88286.50,,144091.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96SB4,SRSF protein kinase 1 OS=Homo sapiens OX=9606 GN=SRPK1 PE=1 SV=2,9,5,6,5,74.3,SRPK1,423618.51,,655628.98,8433.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P05387,Large ribosomal subunit protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1,27,2,6,2,11.7,RPLP2,197852.96,11638.58,362834.34,8238.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35612,Beta-adducin OS=Homo sapiens OX=9606 GN=ADD2 PE=1 SV=3,9,5,6,4,80.8,ADD2,199136.00,9844.47,380506.59,13259.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08579,U2 small nuclear ribonucleoprotein B'' OS=Homo sapiens OX=9606 GN=SNRPB2 PE=1 SV=1,12,3,6,2,25.5,SNRPB2,33530.93,,53403.33,3738.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49454,Centromere protein F OS=Homo sapiens OX=9606 GN=CENPF PE=1 SV=3,2,6,6,6,357.3,CENPF,131914.72,143986.50,263734.39,124679.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,18,5,5,4,39.4,ALDOA,292877.36,35685.89,,68116.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31944,Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2,8,2,5,2,27.7,CASP14,225939.35,125550.42,49810.50,302998.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5T280,Putative methyltransferase C9orf114 OS=Homo sapiens OX=9606 GN=SPOUT1 PE=1 SV=3,16,4,5,4,42,SPOUT1,104246.03,10172.37,165346.78,5786.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99590,Protein SCAF11 OS=Homo sapiens OX=9606 GN=SCAF11 PE=1 SV=2,1,2,5,2,164.6,SCAF11,145347.48,67561.07,168659.94,9112.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WYA6,Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,3,2,5,2,65.1,CTNNBL1,333342.75,34451.25,347676.17,43254.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96AE4,Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3,5,4,5,1,67.5,FUBP1,56921.66,,,12708.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P035,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 OS=Homo sapiens OX=9606 GN=HACD3 PE=1 SV=2,9,3,5,3,43.1,HACD3,371367.11,,465633.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14554,Protein disulfide-isomerase A5 OS=Homo sapiens OX=9606 GN=PDIA5 PE=1 SV=1,5,3,5,3,59.6,PDIA5,101790.72,110532.05,150011.13,259978.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BZ95,Histone-lysine N-methyltransferase NSD3 OS=Homo sapiens OX=9606 GN=NSD3 PE=1 SV=1,2,3,5,2,161.5,NSD3,152832.63,,184009.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16658,Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3,6,3,5,3,54.5,FSCN1,327672.87,11787.23,347107.12,42303.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7Z417,FMR1-interacting protein NUFIP2 OS=Homo sapiens OX=9606 GN=NUFIP2 PE=1 SV=1,5,3,5,3,76.1,NUFIP2,56086.42,,71779.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BRJ6,Uncharacterized protein C7orf50 OS=Homo sapiens OX=9606 GN=C7orf50 PE=1 SV=1,17,2,5,2,22.1,C7orf50,274713.84,15022.58,458202.28,9496.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12824,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 OS=Homo sapiens OX=9606 GN=SMARCB1 PE=1 SV=2,10,3,5,3,44.1,SMARCB1,221257.82,15479.18,614385.47,25011.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q04637,Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4,3,5,5,5,175.4,EIF4G1,348570.70,17955.55,445118.38,16445.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07942,Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2,3,5,5,5,197.9,LAMB1,911059.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P25391,Laminin subunit alpha-1 OS=Homo sapiens OX=9606 GN=LAMA1 PE=1 SV=2,2,5,5,5,336.9,LAMA1,498916.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61964,WD repeat-containing protein 5 OS=Homo sapiens OX=9606 GN=WDR5 PE=1 SV=1,13,3,5,3,36.6,WDR5,,,128541.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96GM5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 OS=Homo sapiens OX=9606 GN=SMARCD1 PE=1 SV=2,8,4,5,4,58.2,SMARCD1,377358.97,42325.88,747097.01,36086.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96GM8,Target of EGR1 protein 1 OS=Homo sapiens OX=9606 GN=TOE1 PE=1 SV=1,8,3,5,3,56.5,TOE1,103062.21,,183419.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P00403,Cytochrome c oxidase subunit 2 OS=Homo sapiens OX=9606 GN=MT-CO2 PE=1 SV=1,7,2,5,2,25.5,MT-CO2,697422.20,,522888.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8TF72,Protein Shroom3 OS=Homo sapiens OX=9606 GN=SHROOM3 PE=1 SV=2,1,2,5,1,216.7,SHROOM3,503035.41,882679.56,460981.31,800923.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92878,DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1,2,3,5,3,153.8,RAD50,70836.33,,233330.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
